ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 2, ACC_Y 2, ACC_Z 2, Time[ms]
-0.053224,-0.004883,-0.990753,-0.344249,0.93411,0.210456,0.141606,-0.021973,-1.045442,  --- 41.463982
-0.055177,-0.013672,-0.988799,-0.361339,0.927762,0.207526,0.136723,-0.020508,-1.04593,  --- 42.464199
-0.055177,-0.013672,-0.988799,-0.361339,0.927762,0.207526,0.136723,-0.020508,-1.04593,  --- 43.464420
-0.052736,-0.011231,-0.985381,-0.346202,0.930204,0.199225,0.140141,-0.026368,-1.021027,  --- 44.464622
-0.052736,-0.011231,-0.985381,-0.346202,0.930204,0.199225,0.140141,-0.026368,-1.021027,  --- 45.464809
-0.048341,-0.013672,-0.980987,-0.35255,0.932645,0.224128,0.144536,-0.035646,-1.036652,  --- 46.465755
-0.048341,-0.013672,-0.980987,-0.35255,0.932645,0.224128,0.144536,-0.035646,-1.036652,  --- 47.465996
-0.054201,-0.014161,-0.989776,-0.358898,0.928251,0.211432,0.14893,-0.031251,-1.038606,  --- 48.471603
-0.054201,-0.014161,-0.989776,-0.358898,0.928251,0.211432,0.14893,-0.031251,-1.038606,  --- 49.471951
-0.056154,-0.011719,-0.980498,-0.348643,0.929716,0.22364,0.141118,-0.01709,-1.025422,  --- 50.472095
-0.056154,-0.011719,-0.980498,-0.348643,0.929716,0.22364,0.141118,-0.01709,-1.025422,  --- 51.722427
-0.053224,-0.007813,-0.987334,-0.355479,0.93997,0.197272,0.142582,-0.019044,-1.036164,  --- 52.722713
-0.044923,-0.00293,-0.983428,-0.347667,0.933134,0.209967,0.139653,-0.030274,-1.041047,  --- 53.722832
-0.044923,-0.00293,-0.983428,-0.347667,0.933134,0.209967,0.139653,-0.030274,-1.041047,  --- 54.723000
-0.049318,-0.002441,-0.986846,-0.355968,0.931669,0.218757,0.149907,-0.02295,-1.032746,  --- 55.731873
-0.049318,-0.002441,-0.986846,-0.355968,0.931669,0.218757,0.149907,-0.02295,-1.032746,  --- 56.732159
-0.057619,-0.008789,-0.98001,-0.350108,0.929227,0.222663,0.146489,-0.020508,-1.023468,  --- 57.737881
-0.057619,-0.008789,-0.98001,-0.350108,0.929227,0.222663,0.146489,-0.020508,-1.023468,  --- 58.738197
-0.050783,-0.008301,-0.986846,-0.357433,0.930692,0.201666,0.145512,-0.020508,-1.034699,  --- 59.738422
-0.050783,-0.008301,-0.986846,-0.357433,0.930692,0.201666,0.145512,-0.020508,-1.034699,  --- 60.738564
-0.047365,-0.01709,-0.996124,-0.355479,0.93997,0.203131,0.132817,-0.014649,-1.037629,  --- 61.738762
-0.0459,-0.003418,-0.992217,-0.341807,0.935575,0.216803,0.137699,-0.018067,-1.018585,  --- 63.131054
-0.0459,-0.003418,-0.992217,-0.341807,0.935575,0.216803,0.137699,-0.018067,-1.018585,  --- 64.131218
-0.050294,-0.008789,-1.004913,-0.35255,0.943388,0.212897,0.140629,-0.024903,-1.02884,  --- 65.131386
-0.050294,-0.008789,-1.004913,-0.35255,0.943388,0.212897,0.140629,-0.024903,-1.02884,  --- 66.131607
-0.053224,-0.006836,-0.978545,-0.357433,0.93704,0.211432,0.129887,-0.014649,-1.05179,  --- 67.131905
-0.053224,-0.006836,-0.978545,-0.357433,0.93704,0.211432,0.129887,-0.014649,-1.05179,  --- 68.132057
-0.054689,-0.004883,-0.999542,-0.35255,0.939481,0.20069,0.146489,-0.028321,-1.044953,  --- 69.132240
-0.054689,-0.004883,-0.999542,-0.35255,0.939481,0.20069,0.146489,-0.028321,-1.044953,  --- 70.132553
-0.055666,-0.001953,-0.9971,-0.34376,0.93704,0.202643,0.131352,-0.019532,-1.035676,  --- 71.132713
-0.055666,-0.001953,-0.9971,-0.34376,0.93704,0.202643,0.131352,-0.019532,-1.035676,  --- 72.323997
-0.049806,-0.012207,-0.994659,-0.355479,0.938505,0.22071,0.140629,-0.024415,-1.032746,  --- 73.324181
-0.053224,-0.003906,-0.98587,-0.350108,0.9429,0.218268,0.129398,-0.024903,-1.022492,  --- 74.327347
-0.053224,-0.003906,-0.98587,-0.350108,0.9429,0.218268,0.129398,-0.024903,-1.022492,  --- 75.327492
-0.052248,-0.010743,-0.995636,-0.344737,0.93118,0.210456,0.13477,-0.015625,-1.029328,  --- 76.327621
-0.052248,-0.010743,-0.995636,-0.344737,0.93118,0.210456,0.13477,-0.015625,-1.029328,  --- 77.338203
-0.055177,-0.011231,-0.979033,-0.350108,0.938505,0.21485,0.139653,-0.026856,-1.038117,  --- 78.360352
-0.055177,-0.011231,-0.979033,-0.350108,0.938505,0.21485,0.139653,-0.026856,-1.038117,  --- 79.360725
-0.0459,-0.008789,-0.989776,-0.357921,0.930692,0.218268,0.132817,-0.032228,-1.036164,  --- 80.360878
-0.0459,-0.008789,-0.989776,-0.357921,0.930692,0.218268,0.132817,-0.032228,-1.036164,  --- 81.361099
-0.052736,-0.010254,-0.985381,-0.349132,0.9429,0.207037,0.133305,-0.023927,-1.043,  --- 82.361336
-0.060549,-0.013184,-0.986358,-0.357921,0.919461,0.220221,0.146977,-0.030274,-1.037629,  --- 83.658218
-0.060549,-0.013184,-0.986358,-0.357921,0.919461,0.220221,0.146977,-0.030274,-1.037629,  --- 84.658386
-0.058107,0,-0.984893,-0.354015,0.93997,0.220221,0.136723,-0.030763,-1.021027,  --- 85.658546
-0.058107,0,-0.984893,-0.354015,0.93997,0.220221,0.136723,-0.030763,-1.021027,  --- 86.658813
-0.049318,-0.00293,-0.992706,-0.36378,0.922391,0.217292,0.127445,-0.006348,-1.016144,  --- 87.658936
-0.049318,-0.00293,-0.992706,-0.36378,0.922391,0.217292,0.127445,-0.006348,-1.016144,  --- 88.659378
-0.055666,-0.00586,-0.970732,-0.353526,0.940458,0.216803,0.137211,-0.033204,-1.033723,  --- 89.659561
-0.055666,-0.00586,-0.970732,-0.353526,0.940458,0.216803,0.137211,-0.033204,-1.033723,  --- 90.659782
-0.050783,-0.006836,-0.971221,-0.354015,0.930692,0.217292,0.141118,-0.025391,-1.027375,  --- 91.659935
-0.050783,-0.006836,-0.971221,-0.354015,0.930692,0.217292,0.141118,-0.025391,-1.027375,  --- 92.660080
-0.052736,-0.011719,-0.968291,-0.348643,0.943388,0.216803,0.139653,-0.021485,-1.032746,  --- 93.660301
-0.059084,-0.00586,-0.972197,-0.351085,0.923368,0.208502,0.138188,-0.019532,-1.050325,  --- 94.900360
-0.059084,-0.00586,-0.972197,-0.351085,0.923368,0.208502,0.138188,-0.019532,-1.050325,  --- 95.900520
-0.056642,-0.011719,-0.994659,-0.354503,0.931669,0.212897,0.142582,-0.029298,-1.035187,  --- 96.903198
-0.056642,-0.011719,-0.994659,-0.354503,0.931669,0.212897,0.142582,-0.029298,-1.035187,  --- 97.903465
-0.062014,-0.004395,-0.983428,-0.346202,0.944364,0.190435,0.13477,-0.016114,-1.027375,  --- 98.906319
-0.062014,-0.004395,-0.983428,-0.346202,0.944364,0.190435,0.13477,-0.016114,-1.027375,  --- 99.906639
-0.047853,-0.000977,-0.987334,-0.355968,0.91702,0.207037,0.140629,-0.021485,-1.038606,  --- 100.906944
-0.047853,-0.000977,-0.987334,-0.355968,0.91702,0.207037,0.140629,-0.021485,-1.038606,  --- 101.907127
-0.051759,-0.015137,-0.972197,-0.360362,0.943388,0.19776,0.142094,-0.013184,-1.032258,  --- 102.907265
-0.051759,-0.015137,-0.972197,-0.360362,0.943388,0.19776,0.142094,-0.013184,-1.032258,  --- 103.907494
-0.041505,-0.010743,-0.97415,-0.35255,0.918485,0.215827,0.146,-0.03711,-1.039094,  --- 104.907814
-0.041505,-0.010743,-0.97415,-0.35255,0.918485,0.215827,0.146,-0.03711,-1.039094,  --- 106.152763
